业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,质量审核报告,否,质量审核报告,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,质量审核报告,质量安全部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,需求清单,是,需求清单,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,界面控制图,是,界面控制图,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,界面控制图,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,构型管理计划,是,构型管理计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,构型管理计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,标准件规范,是,标准件规范,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,标准件规范,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,材料规范,是,材料规范,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,材料规范,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,工艺规范,是,工艺规范,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,工艺规范,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,型材图册,是,型材图册,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,型材图册,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,研发技术文件编制管理规定,是,研发技术文件编制管理规定,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,研发技术文件编制管理规定,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,标准化审查后的文件,是,标准化审查后的文件,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,标准化审查后的文件,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
